Block Name,Block Description,Block Coverage,Block Backdoor,Block Component Name,Block Instance Name,Block Instance Type,Block Instance Description,Block Instance Dimension,Block Instance Backdoor,Block Instance No Reg Tests,Block Instance No Reg Access Test,Block Instance No Reg Shared Access Test,Block Instance No Reg Bit Bash Test,Block Instance No Reg HW Reset Test,Block Instance No Mem Tests,Block Instance No Mem Access Test,Block Instance No Mem Shared Access Test,Block Instance No Mem Walk Test,Project Extra Imports
pll_config_block,,,,,,,,,,,,,,,,,,,
pll_config_block,,,,pll_config_status,status,reg,Status register of the PLL,,%(FIELDS),,,,,,,,,,
pll_config_block,,,,pll_config_cfg1,cfg1,reg,Configure general PLL settings,,%(FIELDS),,,,,,,,,,
pll_config_block,,,,pll_config_cfg2,cfg2,reg,"Configure the target frequency of the PLL. After reset, the PLL starts up at 50 MHz.",,%(FIELDS),,,,,,,,,,
pll_config_block,,,,pll_config_cfg3,cfg3,reg,Configure calibration settings of the PLL.,,%(FIELDS),,,,,,,,,,
