Register Name,Register Description,Register Address,Register Width,Register Access,Register Reset Value,Register Constraints,Register Custom Type,Field Name,Field Description,Field Offset,Field Width,Field Access,Field Reset Value,Field is Covered,Field is Reserved,Field is Volatile,Field Constraints
udma_cpi_rx_saddr,,0x0,32,RW,0x0,,,rx_saddr,RX Camera uDMA transfer address of associated buffer register,0,32,,0,,,1,
udma_cpi_rx_size,,0x4,32,RW,0x0,,,rx_size,RX Camera uDMA transfer size of buffer register,0,32,,0,,,1,
