Block Name,BlockMap Name,BlockMap Description,BlockMap is default,BlockMap Instance Name,BlockMap Instance Address,BlockMap Instance Access,BlockMap Address Offset
siracusa_pads_debug_config_block,siracusa_pads_debug_config_map,,,pad_gpio31_mux_sel,596,,
siracusa_pads_debug_config_block,siracusa_pads_debug_config_map,,,pad_gpio32_cfg,600,,
siracusa_pads_debug_config_block,siracusa_pads_debug_config_map,,,pad_gpio32_mux_sel,604,,
siracusa_pads_debug_config_block,siracusa_pads_debug_config_map,,,pad_gpio33_cfg,608,,
siracusa_pads_debug_config_block,siracusa_pads_debug_config_map,,,pad_gpio33_mux_sel,612,,
siracusa_pads_debug_config_block,siracusa_pads_debug_config_map,,,pad_gpio34_cfg,616,,
siracusa_pads_debug_config_block,siracusa_pads_debug_config_map,,,pad_gpio34_mux_sel,620,,
siracusa_pads_debug_config_block,siracusa_pads_debug_config_map,,,pad_gpio35_cfg,624,,
siracusa_pads_debug_config_block,siracusa_pads_debug_config_map,,,pad_gpio35_mux_sel,628,,
siracusa_pads_debug_config_block,siracusa_pads_debug_config_map,,,pad_gpio36_cfg,632,,
siracusa_pads_debug_config_block,siracusa_pads_debug_config_map,,,pad_gpio36_mux_sel,636,,
siracusa_pads_debug_config_block,siracusa_pads_debug_config_map,,,pad_gpio37_cfg,640,,
siracusa_pads_debug_config_block,siracusa_pads_debug_config_map,,,pad_gpio37_mux_sel,644,,
siracusa_pads_debug_config_block,siracusa_pads_debug_config_map,,,pad_gpio38_cfg,648,,
siracusa_pads_debug_config_block,siracusa_pads_debug_config_map,,,pad_gpio38_mux_sel,652,,
siracusa_pads_debug_config_block,siracusa_pads_debug_config_map,,,pad_gpio39_cfg,656,,
siracusa_pads_debug_config_block,siracusa_pads_debug_config_map,,,pad_gpio39_mux_sel,660,,
siracusa_pads_debug_config_block,siracusa_pads_debug_config_map,,,pad_gpio40_cfg,664,,
siracusa_pads_debug_config_block,siracusa_pads_debug_config_map,,,pad_gpio40_mux_sel,668,,
siracusa_pads_debug_config_block,siracusa_pads_debug_config_map,,,pad_gpio41_cfg,672,,
siracusa_pads_debug_config_block,siracusa_pads_debug_config_map,,,pad_gpio41_mux_sel,676,,
siracusa_pads_debug_config_block,siracusa_pads_debug_config_map,,,pad_gpio42_cfg,680,,
siracusa_pads_debug_config_block,siracusa_pads_debug_config_map,,,pad_gpio42_mux_sel,684,,
