Register Name,Register Description,Register Address,Register Width,Register Access,Register Reset Value,Field Name,Field Description,Field Offset,Field Width,Field Access,Field Reset Value,Field is Volatile,Field is Reserved
progbuf11,Program Buffer 11,0x2b,32,,,,,,,,,,
progbuf12,Program Buffer 12,0x2c,32,,,,,,,,,,
progbuf13,Program Buffer 13,0x2d,32,,,,,,,,,,
progbuf14,Program Buffer 14,0x2e,32,,,,,,,,,,
progbuf15,Program Buffer 15,0x2f,32,,,,,,,,,,
authdata,Authentication Data,0x30,32,,,,,,,,,,
authdata,,,,,,data,,0,32,RW,0,TRUE,FALSE
dmcs2,Debug Module Control and Status 2,0x32,32,,,,,,,,,,
dmcs2,,,,,,grouptype,,11,1,RW,0,TRUE,FALSE
dmcs2,,,,,,dmexttrigger,,7,4,RW,0,TRUE,FALSE
dmcs2,,,,,,group,,2,5,RW,,TRUE,FALSE
dmcs2,,,,,,hgwrite,,1,1,WO,,TRUE,FALSE
dmcs2,,,,,,hgselect,,0,1,RW,0,TRUE,FALSE
haltsum0,Halt Summary 0,0x40,32,,,,,,,,,,
haltsum0,,,,,,haltsum0,,0,32,RO,0,TRUE,FALSE
haltsum1,Halt Summary 1,0x13,32,,,,,,,,,,
haltsum1,,,,,,haltsum1,,0,32,RO,0,TRUE,FALSE
haltsum2,Halt Summary 2,0x34,32,,,,,,,,,,
haltsum2,,,,,,haltsum2,,0,32,RO,0,TRUE,FALSE
haltsum3,Halt Summary 3,0x35,32,,,,,,,,,,
haltsum3,,,,,,haltsum3,,0,32,RO,0,TRUE,FALSE
sbcs,System Bus Access Control and Status,0x38,32,,,,,,,,,,
sbcs,,,,,,sbversion,,29,3,RO,1,TRUE,FALSE
sbcs,,,,,,sbbusyerror,,22,1,W1C,0,TRUE,FALSE
sbcs,,,,,,sbbusy,,21,1,RO,0,TRUE,FALSE
sbcs,,,,,,sbreadonaddr,,20,1,RW,0,TRUE,FALSE
sbcs,,,,,,sbaccess,,17,3,RW,2,TRUE,FALSE
sbcs,,,,,,sbautoincrement,,16,1,RW,0,TRUE,FALSE
sbcs,,,,,,sbreadondata,,15,1,RW,0,TRUE,FALSE
sbcs,,,,,,sberror,,12,3,W1C,0,TRUE,FALSE
sbcs,,,,,,sbasize,,5,7,RO,,TRUE,FALSE
sbcs,,,,,,sbaccess128,,4,1,RO,,TRUE,FALSE
sbcs,,,,,,sbaccess64,,3,1,RO,,TRUE,FALSE
sbcs,,,,,,sbaccess32,,2,1,RO,,TRUE,FALSE
sbcs,,,,,,sbaccess16,,1,1,RO,,TRUE,FALSE
sbcs,,,,,,sbaccess8,,0,1,RO,,TRUE,FALSE
sbaddress0,System Bus Address 31:0,0x39,32,,,,,,,,,,
sbaddress0,,,,,,address,,0,32,RW,0,TRUE,FALSE
sbaddress1,System Bus Address 63:32,0x3a,32,,,,,,,,,,
sbaddress1,,,,,,address,,0,32,RW,0,TRUE,FALSE
sbaddress2,System Bus Address 95:64,0x3b,32,,,,,,,,,,
sbaddress2,,,,,,address,,0,32,RW,0,TRUE,FALSE
sbaddress3,System Bus Address 127:96,0x37,32,,,,,,,,,,
sbaddress3,,,,,,address,,0,32,RW,0,TRUE,FALSE
sbdata0,System Bus Data 31:0,0x3c,32,,,,,,,,,,
sbdata0,,,,,,data,,0,32,RW,0,TRUE,FALSE
sbdata1,System Bus Data 63:32,0x3d,32,,,,,,,,,,
sbdata1,,,,,,data,,0,32,RW,0,TRUE,FALSE
sbdata2,System Bus Data 95:64,0x3e,32,,,,,,,,,,
sbdata2,,,,,,data,,0,32,RW,0,TRUE,FALSE
sbdata3,System Bus Data 127:96,0x3f,32,,,,,,,,,,
sbdata3,,,,,,data,,0,32,RW,0,TRUE,FALSE
custom,Custom Features,0x1f,32,,,,,,,,,,
custom0,Custom Features 0,0x70,32,,,,,,,,,,
custom1,Custom Features 1,0x71,32,,,,,,,,,,
custom2,Custom Features 2,0x72,32,,,,,,,,,,
custom3,Custom Features 3,0x73,32,,,,,,,,,,
custom4,Custom Features 4,0x74,32,,,,,,,,,,
custom5,Custom Features 5,0x75,32,,,,,,,,,,
custom6,Custom Features 6,0x76,32,,,,,,,,,,
custom7,Custom Features 7,0x77,32,,,,,,,,,,
custom8,Custom Features 8,0x78,32,,,,,,,,,,
custom9,Custom Features 9,0x79,32,,,,,,,,,,
custom10,Custom Features 10,0x7a,32,,,,,,,,,,
custom11,Custom Features 11,0x7b,32,,,,,,,,,,
custom12,Custom Features 12,0x7c,32,,,,,,,,,,
custom13,Custom Features 13,0x7d,32,,,,,,,,,,
custom14,Custom Features 14,0x7e,32,,,,,,,,,,
custom15,Custom Features 15,0x7f,32,,,,,,,,,,
